Baker,Barista,Brewer,Butcher,Farmer,Farrier,Fisherman,Grocer,Miller,Vinter
0.0278099,0.165589,0.00596714,0.000657558,0.00956011,0.0619931,0.0274088,0.0896927,0.00967574,0.0157301,=AVERAGE(A2:J2)
0.0218494,0.0052371,0.016891,0.0300653,0.0032196,0.0114756,0.0297914,0.0205815,0.0470929,0.068185,=AVERAGE(A3:J3)
0.010184,0.0572508,0.0794458,0.0188107,0.0171707,0.0318854,0.0272443,0.00250173,0.0196719,0.0366154,=AVERAGE(A4:J4)
0.0240142,0.0764416,0.0755264,0.00814939,0.00333714,0.0347354,0.0778826,0.0106492,0.0412397,0.0540786,=AVERAGE(A5:J5)
0.00712132,0.0676843,0.0300372,0.0827403,0.0195584,0.00237584,0.176292,0.0571462,0.0423975,0.108447,=AVERAGE(A6:J6)
0.0249422,0.013881,0.0119832,0.126264,0.0485673,0.0290034,0.0109477,0.199097,0.0907222,0.0608157,=AVERAGE(A7:J7)
0.0464685,0.0310216,0.00442433,0.0264945,0.0131552,0.00149179,0.178363,0.104317,0.0543833,0.00789547,=AVERAGE(A8:J8)
0.0454011,0.002069,0.101549,0.0595069,0.023675,0.0188675,0.16157,0.158413,0.0777017,0.00713682,=AVERAGE(A9:J9)
0.00218034,0.0189445,0.171567,0.000796795,0.0154912,0.0229332,0.0847478,0.101141,0.0152065,0.0870419,=AVERAGE(A10:J10)
0.0428882,0.0668193,0.110344,0.0150499,0.0124829,0.0145106,0.0367422,0.0487828,0.0782112,0.0673703,=AVERAGE(A11:J11)
0.0468762,0.0176599,0.0590177,0.0184379,0.00351739,0.0211024,0.00380635,0.0524347,0.0234571,0.0389562,=AVERAGE(A12:J12)
0.000465631,0.0190086,0.0729426,0.000197411,0.017709,0.0373199,0.0600654,0.0271888,0.0572872,0.0732121,=AVERAGE(A13:J13)
0.0280302,0.0311122,0.0165069,0.0287633,0.14715,0.0114069,0.0358918,0.0192924,0.0402052,0.057766,=AVERAGE(A14:J14)
0.0251622,0.0256293,0.00390935,0.0569448,0.241971,0.044003,0.00486946,0.00671291,0.0608077,0.0132689,=AVERAGE(A15:J15)
0.0104549,0.00429749,0.0291965,0.00298929,0.216724,0.0109632,0.00113106,0.00513935,0.00175977,0.0715966,=AVERAGE(A16:J16)
0.00949955,0.0237422,0.0358198,0.0175588,0.0593314,0.0397441,0.0147779,0.11801,0.0161334,0.0599499,=AVERAGE(A17:J17)
0.0188828,0.0195816,0.0715467,0.0109441,0.0941964,0.0483294,0.0303509,0.0755053,0.10242,0.159693,=AVERAGE(A18:J18)
0.018929,0.00940251,0.170013,0.00585341,0.0966312,0.0215416,0.0347838,0.00178576,0.0360992,0.051964,=AVERAGE(A19:J19)
0.0499949,0.0199137,0.217009,0.0177481,0.0352886,0.0101981,0.0270014,0.0191207,0.171869,0.0155287,=AVERAGE(A20:J20)
0.0296648,0.00115705,0.177065,0.0393195,0.0166993,0.0163691,0.113116,0.00536013,0.02813,0.0271485,=AVERAGE(A21:J21)
0.00767016,0.044733,0.0702907,0.0216746,0.0241432,0.0289359,0.0891179,0.0144894,0.0122819,0.0402851,=AVERAGE(A22:J22)
0.0325737,0.0201564,0.0362263,0.0236359,0.0252173,0.0170746,0.00251484,0.0132091,0.0142661,0.00332022,=AVERAGE(A23:J23)
0.00719786,0.0365517,0.0160575,0.0215871,0.0647477,0.0164504,0.0297332,0.0203321,0.00316846,0.0319903,=AVERAGE(A24:J24)
0.0118089,0.030863,0.0130808,0.0711697,0.00235748,0.0162373,0.0473187,0.0441473,0.0581155,0.056674,=AVERAGE(A25:J25)
0.00945067,0.101353,0.0484209,0.0185385,0.0160854,0.00685883,0.0578723,0.169474,0.165122,0.00471258,=AVERAGE(A26:J26)
0.0148008,0.137647,0.025841,0.0119839,0.00268459,0.0157673,0.121845,0.0322909,0.136866,0.0407035,=AVERAGE(A27:J27)
0.0230007,0.12038,0.0380697,0.126181,0.0019114,0.0574555,0.00862694,0.0156357,0.0215086,0.0349586,=AVERAGE(A28:J28)
0.0297835,0.0310714,0.0450556,0.201137,0.0335104,0.0707797,0.0959831,0.0778369,0.0597568,0.0321643,=AVERAGE(A29:J29)
0.0539522,0.0897918,0.0175986,0.0740328,0.0378318,0.0220652,0.0509696,0.119314,0.00852585,0.067259,=AVERAGE(A30:J30)
0.0104918,0.00996971,0.113479,0.00739098,0.000213146,0.0697834,0.0305579,0.146095,0.0228843,0.104964,=AVERAGE(A31:J31)
0.0527935,0.0300617,0.246765,0.0241034,0.0136142,0.116223,0.00818563,0.0939189,0.020854,0.143217,=AVERAGE(A32:J32)
0.000865221,0.0102093,0.0245458,0.00765944,0.00950766,0.0324507,0.0243728,0.00144458,0.0273567,0.0415604,=AVERAGE(A33:J33)
0.0386477,0.00297999,0.198359,0.100086,0.0138512,0.0269208,0.000342131,0.050378,0.00570786,0.0767288,=AVERAGE(A34:J34)
0.0692906,0.0364883,0.077716,0.0840287,0.0146043,0.0261025,0.0104885,0.0199511,0.00300348,0.0105779,=AVERAGE(A35:J35)
0.0496814,0.0126147,0.0330169,0.000278234,0.00435138,0.00469542,0.0487051,0.0619143,0.0343513,0.0216033,=AVERAGE(A36:J36)
0.102859,0.0612664,0.0150335,0.0140831,0.076942,0.0262237,0.0185914,0.0373919,0.00812614,0.0375092,=AVERAGE(A37:J37)
0.0837175,0.0967499,0.032891,0.0877466,0.195011,0.0463557,0.0149651,0.0232174,0.00183022,0.0321784,=AVERAGE(A38:J38)
0.0217333,0.0374458,0.0211883,0.00863791,0.243439,0.0134339,0.0563259,0.0055728,0.018741,0.0312514,=AVERAGE(A39:J39)
0.000751495,0.0434416,0.00396514,0.102312,0.0370178,0.00736523,0.0109911,0.115967,0.0668731,0.0958439,=AVERAGE(A40:J40)
0.0280843,0.0110493,0.0266688,0.0123484,0.019798,0.0214949,0.0120139,0.0124217,0.0899839,0.118668,=AVERAGE(A41:J41)
0.0316925,0.00722289,0.00583768,0.0242777,0.0543163,0.0196064,0.0150728,0.0704852,0.136267,0.0777835,=AVERAGE(A42:J42)
0.000933886,0.0160761,0.0311847,0.00686193,0.0208275,0.00658488,0.0152137,0.0480736,0.0651503,0.0564413,=AVERAGE(A43:J43)
0.0102375,0.0340183,0.0144293,0.0120347,0.0261803,0.00324225,0.0304532,0.0468704,0.107347,0.049449,=AVERAGE(A44:J44)
0.0252516,0.0129194,0.0196016,0.024473,0.00170994,0.00579095,0.0247648,0.0133994,0.127462,0.126721,=AVERAGE(A45:J45)
0.0165138,0.015841,0.0676064,0.00721264,0.00865293,0.00600457,0.00370502,0.00197887,0.150127,0.119154,=AVERAGE(A46:J46)
0.0273898,0.0194721,0.231564,0.00178838,0.00851846,0.045892,0.0369549,0.00217056,0.0478959,0.14923,=AVERAGE(A47:J47)
0.00988603,0.00353837,0.137052,0.0602922,0.0144191,0.0347087,0.00288463,0.000680685,0.0625891,0.183627,=AVERAGE(A48:J48)
0.0381608,0.009094,0.101592,0.0165577,0.0471861,0.0503449,0.00164914,0.000514746,0.0413814,0.0391686,=AVERAGE(A49:J49)
0.00828123,0.000692844,0.0349228,0.00569057,0.0482745,0.00653529,0.0347912,0.00418305,0.0861743,0.036495,=AVERAGE(A50:J50)
0.0226016,0.0176561,0.0881081,0.0232861,0.0336986,0.00234318,0.0334189,0.0190599,0.133079,0.0357969,=AVERAGE(A51:J51)
0.0222592,0.00919867,0.0143721,0.0360672,0.0193396,0.0271428,0.000466347,0.0777984,0.0412154,0.00578356,=AVERAGE(A52:J52)
0.00918889,0.0156052,0.0159397,0.000286818,0.00941157,0.0770717,0.018502,0.118913,0.00704849,0.00158477,=AVERAGE(A53:J53)
0.00257397,0.0952474,0.052869,0.0449369,0.0191951,0.151944,0.0160017,0.131562,0.0884594,0.119638,=AVERAGE(A54:J54)
0.0165651,0.146136,0.117307,0.0233867,0.0145042,0.143272,0.0394838,0.152745,0.178648,0.221521,=AVERAGE(A55:J55)
0.00075531,0.0832181,0.0327978,0.00559068,0.010473,0.020653,0.0605049,0.153239,0.0330243,0.146388,=AVERAGE(A56:J56)
0.0108979,0.0226083,0.0421059,0.017787,0.0164509,0.0807819,0.00978398,0.0146744,0.0758323,0.142278,=AVERAGE(A57:J57)
0.0458531,0.0823385,0.00127721,0.00569916,0.0451255,0.0116432,0.00655246,0.0398302,0.00792611,0.079329,=AVERAGE(A58:J58)
0.0164361,0.0468993,0.06625,0.0233121,0.0520561,0.00209904,0.0123343,0.0945111,0.0217872,0.0166655,=AVERAGE(A59:J59)
0.0242174,0.100912,0.0167034,0.0189192,0.0212219,0.0412936,0.044848,0.0116315,0.184481,0.0251679,=AVERAGE(A60:J60)
